kind,name,detail,position,data_type,is_nullable,column_default
column,client_selections,job_change_order_id,12,uuid,YES,null
column,client_selections,notes,13,text,YES,null
column,client_selections,selected_at,14,timestamp with time zone,YES,null
column,client_selections,approved_at,15,timestamp with time zone,YES,null
column,client_selections,approved_by,16,uuid,YES,null
column,client_selections,created_at,17,timestamp with time zone,NO,now()
column,customers,id,1,uuid,NO,gen_random_uuid()
column,customers,tenant_id,2,uuid,NO,null
column,customers,customer_name,3,text,NO,null
column,customers,company,4,text,NO,''::text
column,customers,email,5,text,NO,''::text
column,customers,phone,6,text,NO,''::text
column,customers,billing_address,7,text,NO,''::text
column,customers,property_address,8,text,NO,''::text
column,customers,notes,9,text,NO,''::text
column,customers,is_active,10,boolean,NO,true
column,customers,created_date,11,date,YES,null
column,customers,created_at,12,timestamp with time zone,NO,now()
column,customers,updated_at,13,timestamp with time zone,NO,now()
column,customers,portal_user_id,14,uuid,YES,null
column,customers,stripe_customer_id,15,text,YES,null
column,daily_log_photos,id,1,uuid,NO,gen_random_uuid()
column,daily_log_photos,daily_log_id,2,uuid,NO,null
column,daily_log_photos,document_id,3,uuid,NO,null
column,daily_log_photos,caption,4,text,YES,null
column,daily_log_photos,ai_caption,5,text,YES,null
column,daily_log_photos,sequence,6,integer,NO,0
column,daily_log_photos,is_client_visible,7,boolean,NO,true
column,daily_log_photos,created_at,8,timestamp with time zone,NO,now()
column,daily_logs,id,1,uuid,NO,gen_random_uuid()
column,daily_logs,tenant_id,2,uuid,NO,null
column,daily_logs,project_id,3,uuid,NO,null
column,daily_logs,date,4,date,NO,null
column,daily_logs,author_id,5,uuid,NO,null
column,daily_logs,weather,6,text,YES,null
column,daily_logs,temperature_f,7,integer,YES,null
column,daily_logs,crew_count,8,integer,YES,null
column,daily_logs,hours_worked,9,numeric,YES,null
column,daily_logs,work_performed,10,text,NO,null
column,daily_logs,materials_delivered,11,text,YES,null
column,daily_logs,equipment_used,12,text,YES,null
column,daily_logs,issues_or_delays,13,text,YES,null
column,daily_logs,visitors,14,text,YES,null
column,daily_logs,safety_incidents,15,text,YES,null
column,daily_logs,ai_client_summary,16,text,YES,null
column,daily_logs,ai_drafted_at,17,timestamp with time zone,YES,null
column,daily_logs,is_client_visible,18,boolean,NO,false
column,daily_logs,published_at,19,timestamp with time zone,YES,null
column,daily_logs,created_at,20,timestamp with time zone,NO,now()
column,daily_logs,updated_at,21,timestamp with time zone,NO,now()
column,document_embeddings,id,1,uuid,NO,gen_random_uuid()
column,document_embeddings,tenant_id,2,uuid,NO,null
column,document_embeddings,document_id,3,uuid,NO,null
column,document_embeddings,chunk_index,4,integer,NO,0
column,document_embeddings,chunk_text,5,text,NO,null
column,document_embeddings,embedding,6,vector,YES,null
column,document_embeddings,model,7,text,NO,'text-embedding-3-small'::text
column,document_embeddings,created_at,8,timestamp with time zone,NO,now()
column,document_folders,id,1,uuid,NO,gen_random_uuid()
column,document_folders,tenant_id,2,uuid,NO,null
column,document_folders,project_id,3,uuid,YES,null
column,document_folders,parent_id,4,uuid,YES,null
column,document_folders,name,5,text,NO,null
column,document_folders,type,6,document_type,YES,null
column,document_folders,sequence,7,integer,NO,0
column,document_folders,is_client_visible,8,boolean,NO,false
column,document_folders,created_at,9,timestamp with time zone,NO,now()
column,document_signatures,id,1,uuid,NO,gen_random_uuid()
column,document_signatures,document_id,2,uuid,NO,null
column,document_signatures,tenant_id,3,uuid,NO,null
column,document_signatures,signer_id,4,uuid,YES,null
column,document_signatures,signer_email,5,text,YES,null
column,document_signatures,signer_name,6,text,YES,null
column,document_signatures,status,7,signature_status,NO,'pending'::signature_status
column,document_signatures,token,8,text,YES,null
column,document_signatures,token_expires_at,9,timestamp with time zone,YES,null
column,document_signatures,signed_at,10,timestamp with time zone,YES,null
column,document_signatures,declined_at,11,timestamp with time zone,YES,null
column,document_signatures,declined_reason,12,text,YES,null
column,document_signatures,signature_data,13,text,YES,null
column,document_signatures,ip_address,14,inet,YES,null
column,document_signatures,user_agent,15,text,YES,null
column,document_signatures,created_at,16,timestamp with time zone,NO,now()
column,documents,id,1,uuid,NO,gen_random_uuid()
column,documents,tenant_id,2,uuid,NO,null
column,documents,project_id,3,uuid,YES,null
column,documents,folder_id,4,uuid,YES,null
column,documents,type,5,document_type,NO,'other'::document_type
column,documents,name,6,text,NO,null
column,documents,description,7,text,YES,null
column,documents,storage_bucket,8,text,NO,'documents'::text
column,documents,storage_path,9,text,NO,null
column,documents,mime_type,10,text,YES,null
column,documents,file_size_bytes,11,bigint,YES,null
column,documents,version,12,integer,NO,1
column,documents,parent_id,13,uuid,YES,null
column,documents,is_client_visible,14,boolean,NO,false
column,documents,tags,15,_text[],NO,'{}'::text[]
column,documents,ai_summary,16,text,YES,null
column,documents,uploaded_by,17,uuid,YES,null
column,documents,created_at,18,timestamp with time zone,NO,now()
column,documents,updated_at,19,timestamp with time zone,NO,now()
column,draw_requests,id,1,uuid,NO,gen_random_uuid()
column,draw_requests,draw_schedule_id,2,uuid,NO,null
column,draw_requests,tenant_id,3,uuid,NO,null
column,draw_requests,job_id,4,uuid,NO,null
column,draw_requests,number,5,integer,NO,null
column,draw_requests,status,6,draw_status,NO,'draft'::draw_status
column,draw_requests,amount_requested_cents,7,bigint,NO,0
column,draw_requests,amount_approved_cents,8,bigint,NO,0
column,draw_requests,amount_funded_cents,9,bigint,NO,0
column,draw_requests,percent_complete_at_draw,10,integer,YES,null
column,draw_requests,submitted_at,11,timestamp with time zone,YES,null
column,draw_requests,approved_at,12,timestamp with time zone,YES,null
column,draw_requests,funded_at,13,timestamp with time zone,YES,null
column,draw_requests,lender_reference,14,text,YES,null
column,draw_requests,notes,15,text,YES,null
column,draw_requests,pdf_document_id,16,uuid,YES,null
column,draw_requests,created_by,17,uuid,YES,null
column,draw_requests,created_at,18,timestamp with time zone,NO,now()
column,draw_schedules,id,1,uuid,NO,gen_random_uuid()
column,draw_schedules,tenant_id,2,uuid,NO,null
column,draw_schedules,job_id,3,uuid,NO,null
column,draw_schedules,lender_name,4,text,YES,null
column,draw_schedules,lender_contact,5,text,YES,null
column,draw_schedules,lender_email,6,text,YES,null
column,draw_schedules,loan_amount_cents,7,bigint,YES,null
column,draw_schedules,holdback_pct,8,numeric,NO,10
column,draw_schedules,created_at,9,timestamp with time zone,NO,now()
column,estimate_line_items,id,1,uuid,NO,gen_random_uuid()
column,estimate_line_items,estimate_id,2,uuid,NO,null
column,estimate_line_items,section_id,3,uuid,YES,null
column,estimate_line_items,tenant_id,4,uuid,NO,null
column,estimate_line_items,template_id,5,uuid,YES,null
column,estimate_line_items,account_id,6,uuid,YES,null
column,estimate_line_items,description,7,text,NO,null
column,estimate_line_items,quantity,8,numeric,NO,1
column,estimate_line_items,unit,9,text,NO,'ls'::text
column,estimate_line_items,unit_cost_cents,10,bigint,NO,0
column,estimate_line_items,markup_pct,11,numeric,NO,0
column,estimate_line_items,unit_price_cents,12,bigint,NO,0
column,estimate_line_items,total_cents,13,bigint,NO,0
column,estimate_line_items,csi_division,14,text,YES,null
column,estimate_line_items,trade,15,text,YES,null
column,estimate_line_items,is_allowance,16,boolean,NO,false
column,estimate_line_items,is_optional,17,boolean,NO,false
column,estimate_line_items,sequence,18,integer,NO,0
column,estimate_line_items,notes,19,text,YES,null
column,estimate_line_items,created_at,20,timestamp with time zone,NO,now()
column,estimate_line_items,updated_at,21,timestamp with time zone,NO,now()
column,estimate_sections,id,1,uuid,NO,gen_random_uuid()
column,estimate_sections,estimate_id,2,uuid,NO,null
column,estimate_sections,tenant_id,3,uuid,NO,null
column,estimate_sections,name,4,text,NO,null
column,estimate_sections,csi_division,5,text,YES,null
column,estimate_sections,sequence,6,integer,NO,0
column,estimate_sections,subtotal_cents,7,bigint,NO,0
column,estimate_sections,notes,8,text,YES,null
